Threshold,Precision,Recall,F1_Score
0.05,0.365296803652968,0.8421052631578947,0.5095541401273885
0.1,0.5133333333333333,0.8105263157894737,0.6285714285714286
0.15,0.5923076923076923,0.8105263157894737,0.6844444444444444
0.2,0.6637931034482759,0.8105263157894737,0.7298578199052133
0.25,0.7129629629629629,0.8105263157894737,0.7586206896551724
0.3,0.7475728155339806,0.8105263157894737,0.7777777777777778
0.35,0.7623762376237624,0.8105263157894737,0.7857142857142857
0.4,0.7835051546391752,0.8,0.7916666666666666
0.45,0.8,0.8,0.8
0.5,0.8260869565217391,0.8,0.8128342245989305
0.55,0.8426966292134831,0.7894736842105263,0.8152173913043478
0.6,0.8620689655172413,0.7894736842105263,0.8241758241758241
0.65,0.8928571428571429,0.7894736842105263,0.8379888268156425
0.7,0.8928571428571429,0.7894736842105263,0.8379888268156425
0.75,0.8902439024390244,0.7684210526315789,0.8248587570621468
0.8,0.9240506329113924,0.7684210526315789,0.8390804597701149
0.85,0.9240506329113924,0.7684210526315789,0.8390804597701149
0.9,0.935064935064935,0.7578947368421053,0.8372093023255814
0.95,0.9726027397260274,0.7473684210526316,0.8452380952380952
