Metric,Value
Accuracy,0.9993832164381631
Precision,0.8260869565217391
Recall,0.8
F1-Score,0.8128342245989305
ROC-AUC,0.9718477585289059
PR-AUC,0.8194601431752969
Best Threshold,0.95
Best Threshold Precision,0.9726027397260274
Best Threshold Recall,0.7473684210526316
Best Threshold F1-Score,0.8452380952380952
