feature,importance
V14,0.43875915
V12,0.10589276
V10,0.070709385
V4,0.056039274
V8,0.03305916
V3,0.019851752
V13,0.019049156
V17,0.018993892
V18,0.018446622
V1,0.016046358
V26,0.0139475595
Time,0.013114403
V22,0.012850419
Amount,0.012495565
V11,0.011626507
V25,0.011443165
V9,0.0114070205
V24,0.011387465
V2,0.0111054955
V7,0.0107961465
